Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
19052.11,74411.68,100762.74,328.05,8024.12,1957.52,85.2,29.39,3268.34,296.38,1417.56,1777.51,213099.67,0,741.45,263.89,683.73,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
15469.55,94803.71,67974.84,3399.34,631.4,2965.26,1308.42,5366.56,2152.66,123.99,4424.75,404.33,199729.18,0,290.55,80.24,333.58,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
17824.32,1826.6,107288.83,958.38,9602.26,49.71,92.82,74.36,1460.59,496.06,1304.02,1807.53,145744.87,0,935.42,254.17,1769.8,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
5432.65,591.5,308.87,69.4,48423.03,615.01,118.04,686.96,1008.3,3710.32,471.93,679.23,62754.91000000001,0,439.82,122.59,77.26,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
17816.42,3889.4,9879.77,14566.67,124.83,5239.77,566.33,28044.19,8011.58,588.01,28832.47,6505.99,170079.69,0,4574.2,1188.58,40251.48,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
2690.48,96.6,5715.77,805.11,6486.72,55.76,54.16,516.66,1820.49,1605.32,7052.23,1338.51,32129.28,0,779.47,277.19,2834.81,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
10690.48,2479.7,19996.02,1701.6,26269.01,2781.79,263.68,18123.55,7116.53,11633.02,13522.38,3426.51,139383.76,0,1655.74,513.19,19210.56,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
51.67,9.51,2216.48,333.89,207.87,9.67,14.15,156.18,335.45,156.58,1414.24,277.53,6445.7699999999995,0,197.22,71.52,993.81,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
11382.5,6302.24,20447.41,2343.91,20581.05,5708.91,289.42,37738.23,5893.73,7080.78,4027.33,3955.91,153904.2,0,1753.18,801.54,25598.06,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
5720.83,3092.33,8225.5,2595.93,6670.38,3016.1,143.46,21055.43,3320.91,3488.7,5066.43,2192.96,82909.29,0,977.93,330.47,17011.93,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
16937.83,2602.16,6397.6,883.93,35262.7,2224.7,152.67,9497.69,3504.98,15049.59,8519.39,2657.95,110784.36,0,1382.74,433.32,5277.11,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0,0.15,0.07,0.21,15.14,0,0.21,0,19.09,0.28,18.15,35.11,177.02000000000004,0,62.66,23.99,1.96,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
19388.84,4079.18,6504.49,507.04,24360.46,6433.54,293.86,34103.42,3850.48,12135.99,4687.85,2176.26,135765.59,0,1083.13,308.4,15852.65,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
24182.32,915.88,12341.39,85.74,45365.04,912.19,119.02,3890.29,3644.46,7544.41,2534.9,2383.39,109151.90000000001,0,1380.71,523.9,3328.26,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
25076.4,560.61,13732.01,143.77,49832.26,547.83,163.78,639.93,2266.39,6080.86,1899.72,1299.98,104654.31,0,866.04,359.72,1185.01,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
16308.14,2318.62,17659.15,884.15,11761.25,4850.1,189.34,26918.58,2460.99,14221.26,4369.65,1373.75,125437.96999999999,0,712.61,200.24,21210.14,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
8437.37,2738.56,20142.87,13007.97,709.18,4257.15,197.31,26085.26,1651.85,1528.6,23311.88,2831.54,134252.43999999997,0,1169.39,456.1,27727.41,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
74876.58,99457.22,88904.74,6837.04,15312.89,293157.57,1715.48,39426.19,8528.01,12327.64,16892.35,7698.57,695521.7200000001,0,8014.69,3106.94,19265.81,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
23261.05,64095.41,32344.22,345.55,31291.36,9638.73,271.56,5622.09,3149.72,3644.66,3238.21,1316.55,181037.00999999998,0,1163.25,428.77,1225.88,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
20471.9,2783.68,29574.64,334.95,27809.89,3178.72,164.17,24136.54,1850.37,7686.03,3062.88,1592.22,137731.07,0,730.29,262.04,14092.75,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
1889.97,34577.02,23000.51,1467.93,770.82,85198.21,595.44,63837.2,650.5,127.99,2142.29,628.65,216439.76,39.23,399.42,63.89,1050.69,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
548.95,54890.03,6023.25,596.33,636.7,199235.85,1297.08,48245.01,1125.22,177.09,417.51,617.55,314918.5300000001,0,540.16,86.1,481.7,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
2147.32,10311.21,5042.84,1235.61,10131.55,126824.15,16710.73,38061.07,799.65,821.68,5209.39,732.51,219884.61999999997,0,882.2,308.5,666.21,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
2965.88,79559.39,34669.52,2498.63,17552.61,64608.17,1830.32,56469.57,2093.71,1324.57,1008.02,1434.37,269604.06000000006,157.61,1350.52,349.65,1731.52,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
3740.83,59514.67,4673.29,2760.88,640.14,147125.22,2556.63,28278.99,403.7,80.13,1702.64,262.88,253326.29,37.51,236.8,44.32,1267.66,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
1060.89,31750.88,1638.59,1270.89,578.26,208566.63,9334.41,27419.91,362.34,75.26,1460.23,544.82,286376.24000000005,0,880.75,292.78,1139.6,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
7336.9,134905.75,57158.2,3144.34,536.43,91289.78,1572.94,77373.1,687.98,171.15,3833.78,530.35,380824.9700000001,28.74,376.79,66.84,1811.9,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
83.02,22583.47,5392.59,280.39,58.91,214916.07,6588.22,38487.61,1428.99,50.23,561.26,1486.33,295218.7100000001,0,1935.4,447.05,919.17,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
2686.5,56919.5,41597.35,3153.39,729.74,170617.07,18673.94,82054.05,5578.62,6039.35,19422.96,4104.71,423891.27999999997,53.41,8934.02,2330.24,996.43,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
8834.17,39447.67,12709.45,3341.3,311.81,81595.66,1310.95,90990.67,1423.93,5075.63,6048.24,1134.85,254797.04000000004,29.3,980.98,336.39,1226.04,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
4106.05,24172.68,26599.87,1362.89,1264.0,29153.63,2195.06,71093.56,1843.76,3133.66,12542.99,2519.9,184649.34000000003,312.0,1923.68,553.29,1872.32,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
