country,id,latitude,longitude,name,population,geometry
USA,749.0,32.29882,-90.185,Jackson,250902.0,POINT (-90.185 32.29882)
USA,750.0,35.81878,-78.64469,Raleigh,1163515.0,POINT (-78.64469 35.81878)
USA,751.0,41.46999,-81.695,Cleveland,1890000.0,POINT (-81.695 41.46999)
USA,752.0,39.16188,-84.45692,Cincinnati,1636000.0,POINT (-84.45692 39.16188)
USA,753.0,36.16997,-86.77998,Nashville,877000.0,POINT (-86.77998 36.16997)
USA,754.0,35.11999,-90.0,Memphis,1081000.0,POINT (-90 35.11999)
USA,755.0,36.84996,-76.28001,Norfolk,1047869.0,POINT (-76.28001 36.84996)
USA,756.0,43.05266,-87.91997,Milwaukee,1388000.0,POINT (-87.91997 43.05266)
USA,757.0,42.87998,-78.88,Buffalo,1016000.0,POINT (-78.88 42.87998)
USA,758.0,40.43,-79.99999,Pittsburgh,1838000.0,POINT (-79.99999 40.43)
USA,762.0,57.79,-152.40699,Kodiak,9461.0,POINT (-152.40699 57.79)
USA,763.0,55.2,-162.71509,Cold Bay,200.0,POINT (-162.71509 55.2)
USA,764.0,60.7933,-161.7558,Bethel,6228.0,POINT (-161.7558 60.7933)
USA,765.0,68.34773,-166.80802,Point Hope,461.0,POINT (-166.80802 68.34773)
USA,766.0,71.29057,-156.78858,Barrow,4336.0,POINT (-156.78858 71.29057)
USA,767.0,64.5061,-165.40637,Nome,3485.0,POINT (-165.40637 64.5061)
USA,768.0,61.136,-146.34829,Valdez,4036.0,POINT (-146.34829 61.136)
USA,769.0,58.31413,-134.42,Juneau,30711.0,POINT (-134.42 58.31413)
USA,770.0,64.83698,-147.71066,Fairbanks,56993.0,POINT (-147.71066 64.83698)
USA,771.0,70.29218,-148.66936,Prudhoe Bay,2500.0,POINT (-148.66936 70.29218)
USA,1049.0,18.44002,-66.12998,San Juan,2478905.0,POINT (-66.12998 18.44002)
USA,1066.0,44.97998,-93.25179,Minneapolis,2616000.0,POINT (-93.25179 44.97998)
