country,id,latitude,longitude,name,population,geometry
ATA,71.0,-68.77767,78.14074,Davis Station,70.0,POINT (78.14074 -68.77767)
ATA,72.0,-74.66631,124.16704,Concordia Research Station,30.0,POINT (124.16704 -74.66631)
ATA,73.0,-66.28609,110.53621,Casey Station,200.0,POINT (110.53621 -66.28609)
ATA,74.0,-89.98289,139.26699,AmundsenScott South Pole Station,200.0,POINT (139.26699 -89.98289)
ATA,75.0,-73.04961,-13.41671,Wasa Station,10.0,POINT (-13.41671 -73.04961)
ATA,76.0,-72.01629,2.53332,Troll Station,44.0,POINT (2.53332 -72.01629)
ATA,77.0,-74.5829,-11.21669,Svea Station,10.0,POINT (-11.21669 -74.5829)
ATA,78.0,-71.30123,-11.85021,Novolazarevskaya Station,70.0,POINT (-11.85021 -71.30123)
ATA,79.0,-70.8904,-7.83844,Neumayer Station III,40.0,POINT (-7.83844 -70.8904)
ATA,80.0,-70.78218,11.73046,Maitri Station,65.0,POINT (11.73046 -70.78218)
ATA,81.0,-76.09226,-26.47416,Halley Station,70.0,POINT (-26.47416 -76.09226)
ATA,82.0,-77.86632,-34.61668,Belgrano Station,100.0,POINT (-34.61668 -77.86632)
ATA,83.0,-81.17908,-40.50153,Camp Sobral,40.0,POINT (-40.50153 -81.17908)
ATA,84.0,-75.04959,-13.41671,Aboa Station,18.0,POINT (-13.41671 -75.04959)
ATA,85.0,-68.11632,-67.1,San Martín Station,20.0,POINT (-67.1 -68.11632)
ATA,86.0,-63.32842,-57.88959,Gen. O'Higgins Station,44.0,POINT (-57.88959 -63.32842)
ATA,87.0,-63.37533,-57.0259,Esperanza Station,250.0,POINT (-57.0259 -63.37533)
ATA,88.0,-60.7329,-44.7333,Orcadas Station,45.0,POINT (-44.7333 -60.7329)
ATA,89.0,-60.63131,-45.6007,Signy Research Station,8.0,POINT (-45.6007 -60.63131)
ATA,90.0,-66.77505,139.96368,Dumont d'Urville Station,120.0,POINT (139.96368 -66.77505)
ATA,91.0,-69.03039,39.74608,Showa Station,60.0,POINT (39.74608 -69.03039)
GBR,92.0,36.13243,-5.37807,Gibraltar,187083.0,POINT (-5.37807 36.13243)
SWZ,93.0,-26.46667,31.2,Lobamba,9782.0,POINT (31.2 -26.46667)
GBR,94.0,55.94833,-3.21909,Edinburgh,504966.0,POINT (-3.21909 55.94833)
GBR,95.0,51.49999,-3.22501,Cardiff,861400.0,POINT (-3.22501 51.49999)
NOR,96.0,78.21668,15.55,Longyearbyen,1232.0,POINT (15.55 78.21668)
LUX,97.0,49.61166,6.13,Luxembourg,107260.0,POINT (6.13 49.61166)
ITA,98.0,45.07039,7.66996,Turin,1652000.0,POINT (7.66996 45.07039)
FRA,99.0,-22.26253,166.44429,Noumea,93060.0,POINT (166.44429 -22.26253)
JPN,100.0,33.84554,132.76584,Matsuyama,533541.0,POINT (132.76584 33.84554)
FRA,101.0,48.10002,-1.67001,Rennes,209375.0,POINT (-1.67001 48.10002)
FRA,102.0,43.61996,1.44993,Toulouse,847000.0,POINT (1.44993 43.61996)
FRA,103.0,45.82998,1.24999,Limoges,152199.0,POINT (1.24999 45.82998)
FRA,104.0,50.64997,3.08001,Lille,1044000.0,POINT (3.08001 50.64997)
FRA,105.0,48.57997,7.75001,Strasbourg,439972.0,POINT (7.75001 48.57997)
GEO,106.0,41.6,41.63001,Batumi,155542.0,POINT (41.63001 41.6)
PRT,107.0,32.64998,-16.88004,Funchal,204767.0,POINT (-16.88004 32.64998)
SDN,108.0,13.62998,25.35002,El Fasher,252609.0,POINT (25.35002 13.62998)
NAM,109.0,-26.5739,18.12999,Keetmanshoop,18039.0,POINT (18.12999 -26.5739)
NAM,110.0,-22.66886,14.53502,Swakopmund,29491.0,POINT (14.53502 -22.66886)
ITA,111.0,44.40999,8.93004,Genoa,647497.0,POINT (8.93004 44.40999)
